id;label;shape;bgcolor;fontcolor;rank;subgraph;mainGraph;is_terminal;href;tooltip;descr;openSource;keyQuestions;keyLink
FSBrain;FSBrain;ellipse;#D41159;white;4;R;Dataanalysis;yes;https://cran.r-project.org/web/packages/fsbrain/vignettes/fsbrain.html;https://cran.r-project.org/web/packages/fsbrain/vignettes/fsbrain.html;"This R package ""helps visualize surface-based brain structure data for large groups of subjects with very little code"" and ""also supports the computation of simple brain morphometry measures"".";FALSE;;
GGhelp;GGhelp;ellipse;#D41159;white;4;R;Dataanalysis;yes;https://rdrr.io/github/brandmaier/ggx/man/gghelp.html;https://rdrr.io/github/brandmaier/ggx/man/gghelp.html;"An R package that ""converts a natural language query into a 'ggplot2' command string"".";FALSE;;
GGplot tricks;GGplot tricks;ellipse;#D41159;white;4;R;Dataanalysis;yes;https://twitter.com/data_question/status/1496130684729303045?s=20;https://twitter.com/data_question/status/1496130684729303045?s=20;Some tricks from the R people to level up your ggplot game.;FALSE;;
R visualization;R visualization;ellipse;#D41159;white;4;R;Dataanalysis;yes;https://wilkelab.org/SDS375/syllabus.html;https://wilkelab.org/SDS375/syllabus.html;This is a great syllabus about visualizing data in R, held by Claus Wilke.;FALSE;;
R graph gallery;R graph gallery;ellipse;#D41159;white;4;R;Dataanalysis;yes;https://r-graph-gallery.com/;https://r-graph-gallery.com/;A collection of charts made with the R programming language.;FALSE;;
RStudio;RStudio;diamond;#40B0A6;white;4;R;Dataanalysis;no;NA;;NA;;;
RStudio;RStudio;diamond;#40B0A6;white;4;RStudio;Dataanalysis;no;NA;;NA;;;
Cheatsheets 1;Cheatsheets 1;ellipse;#D41159;white;5;RStudio;Dataanalysis;yes;https://posit.co/resources/cheatsheets/;https://posit.co/resources/cheatsheets/;There are loads of cheat sheets to help you find your way around in R.;FALSE;;
Cheatsheets 2;Cheatsheets 2;ellipse;#D41159;white;5;RStudio;Dataanalysis;yes;https://www.rstudio.com/resources/cheatsheets/;https://www.rstudio.com/resources/cheatsheets/;Another load of cheat sheets to help you find your way around in R.;FALSE;;
JASP;JASP;ellipse;#D41159;white;3;AnalysisFramework;Dataanalysis;yes;https://jasp-stats.org/;https://jasp-stats.org/;JASP offers standard analysis procedures in both their classical and Bayesian form.;FALSE;;
Python;Python;diamond;#40B0A6;white;3;AnalysisFramework;Dataanalysis;no;NA;;NA;;;
Python;Python;diamond;#40B0A6;white;3;Python;Dataanalysis;no;NA;;NA;;;
Jupyter Notebook;Jupyter Notebook;ellipse;#D41159;white;4;Python;Dataanalysis;yes;https://jupyter.org/;https://jupyter.org/;Jupyter Notebook is an open-source web application that allows users to create and share documents containing live code, equations, visualizations, and narrative text. It's commonly used for interactive data analysis, data visualization, machine learning experimentation, and collaborative research across various programming languages.;FALSE;;
Jupyter Notebook;Jupyter Notebook;ellipse;#D41159;white;4;JupyterNotebook;Dataanalysis;yes;https://jupyter.org/;https://jupyter.org/;Jupyter Notebook is an open-source web application that allows users to create and share documents containing live code, equations, visualizations, and narrative text. It's commonly used for interactive data analysis, data visualization, machine learning experimentation, and collaborative research across various programming languages.;FALSE;;
